Lp;Nazwa_funduszu;Forma_prawna;Rok_uruchomienia;Jak_czesto_wycena_SFIO;Udzial_akcji;Oplata_za_zarzadzanie;TER;Oplaty_biezace;Typ;Pierwsza_wplata;Nastepna_wplata;Benchmark;Benchmark_2;Benchmark_3;Benchmark_4;Benchmark_5;Benchmark_6;Benchmark_7;Benchmark_8;Aktywa;Oplata_za_nabycie;Oplata_za_umorzenie;Oplata_za_wynik;Oplata_za_wynik_2;Polityka_inwestycyjna_(min._akcji);Inne;Inne_2;Inne_3;Nazwa_IZFiA;TFI
295;Investor Gold Otwarty (Investor SFIO);SFIO;2008;codziennie;0;4;3.97;4.43;inne;50;50;90% Gold (przeliczony na polsk¹ walutê);10% WIBID 6M;;;;;;;371.7;5;0;;;;ozn spada do 0.5% przy 2 000 000;min. 70% w Deutsche Invest I Gold and Precious Metals Equities;;Investor Gold Otwarty;Investor
296;Investor Gotówkowy (Investor SFIO);SFIO;2008;codziennie;;0.8;0.82;0.82;pieniê¿ne;50;50;100% WIBID 3M;#NAZWA?;#NAZWA?;;;;;;21.1;0;0;;;;min. 80% w d³u¿ne;;;Investor Gotówkowy;Investor
65;Investor Indie i Chiny (Investor SFIO);SFIO;2008;codziennie;0;4;3.99;4.47;akcji;50;50;45% MSCI INDIA;45% MSCI CHINA;10% WIBID 6M;;;;;;38.4;5;0;;;;ozn spada do 0.5% przy 2 000 000;min. 70% w DWS India, Deutsche Invest I Asian Small/Mid Cap, Deutsche Invest I Chinese Equities, Deutsche Invest I Top Asia;;Investor Indie i Chiny;Investor
66;Investor Niemcy (Investor SFIO);SFIO;2008;codziennie;0;4;4.04;4.68;akcji;50;50;90% CDAX Index;10% WIBID 6M;;;;;;;25.1;5;0;;;;ozn spada do 0.5% przy 2 000 000;min. 70% w DWS Deutschland, DWS Aktien Strategie Deutschland, DWS German Small/Mid Cap oraz Deutsche Invest I German Equities;;Investor Niemcy;Investor
67;Investor Nowych Technologii (Investor SFIO);SFIO;2008;codziennie;74.78;4;4.04;4.05;akcji;50;50;90% WIG;10% WIBID 6M;;;;;;;76.8;5;0;;;70%;ozn spada do 0.5% przy 2 000 000;;;Investor Nowych Technologii;Investor
297;Investor Obligacji (Investor FIO);FIO;1998;;;1.1;1.09;1.11;d³u¿ne;50;50;70% Citigroup Poland Government Bond Index;30% WIBID 6M;#NAZWA?;;;;;;86.6;1;0;;;;ozn spada do 0.2% przy 2 000 000;min. 70% w d³u¿ne;;Investor Obligacji;Investor
298;Investor Obligacji Korporacyjnych (Investor SFIO);SFIO;2015;codziennie;;1.5;2.75;3.15;d³u¿ne;50;50;100% WIBID 6M;;;;;;;;1.5;1;0;25%;ponad benchmark;;ozn spada do 0.2% przy 2 000 000;min. 70% w d³u¿ne;;Investor Obligacji Korporacyjnych;Investor
299;Investor Obligacji Rynków Wschodz¹cych Plus (Investor SFIO);SFIO;2015;codziennie;;1.5;2.9;3.15;d³u¿ne;50;50;100% WIBID 6M;;;;;;;;1.1;1;0;25%;ponad benchmark;;ozn spada do 0.2% przy 2 000 000;;;Investor Obligacji Rynków Wschodz¹cych Plus;Investor
300;Investor P³ynna Lokata (Investor FIO);FIO;1999;;;0.8;0.78;0.81;pieniê¿ne;50;50;100% WIBID 3M;#NAZWA?;#NAZWA?;;;;;;1 507.70;0;0;;;;min. 70% w d³u¿ne;;;Investor P³ynna Lokata;Investor
68;Investor Rosja (Investor SFIO);SFIO;2008;codziennie;0;4;4.02;4.52;akcji;50;50;90% MSCI RUSSIA (przeliczony na polsk¹ walutê);10% WIBID 6M;;;;;;;29.5;5;0;;;;ozn spada do 0.5% przy 2 000 000;min. 70% w DWS Russia;;Investor Rosja;Investor
69;Investor Sektora Nieruchomoœci i Budownictwa (Investor SFIO);SFIO;2008;codziennie;0;4;4.02;4.62;akcji;50;50;30% WIG Budownictwo;20% WIG Deweloperzy;50% RREEF Global Real Estate Securities;;;;;;7.1;5;0;;;;ozn spada do 0.5% przy 2 000 000;min. 70% w Deutsche Invest I Global Real Estate Securities;;Investor Sektora Nieruchomoœci i Budownictwa;Investor
70;Investor Top 25 Ma³ych Spó³ek (Investor FIO);FIO;2002;;73.53;4;3.77;4.01;akcji;50;50;80% Investor MS;20% WIBID 6M;;;;;;;214.6;5;0;;;70%;ozn spada do 0.5% przy 2 000 000;;;Investor Top 25 Ma³ych Spó³ek;Investor
71;Investor Top 50 Ma³ych i Œrednich Spó³ek (Investor FIO);FIO;2006;;81.14;4;4.34;4.05;akcji;50;50;50% Investor MS;10% RTS-2 Index (w PLN);10% ISE National All Shares (w PLN);30% WIBID 6M;;;;;57.1;5;0;25%;ponad benchmark;70%;ozn spada do 0.5% przy 2 000 000;;;Investor Top 50 Ma³ych i Œrednich Spó³ek;Investor
72;Investor Turcja (Investor SFIO);SFIO;2008;codziennie;37.06;4;3.98;4.26;akcji;50;50;90% MSCI TURKEY;10% WIBID 6M;;;;;;;80.8;5;0;;;;ozn spada do 0.5% przy 2 000 000;min. 70% w DWS Turkei;;Investor Turcja;Investor
301;Investor Zabezpieczenia Emerytalnego (Investor FIO);FIO;1999;;37.37;3;2.91;3.01;mieszane;50;50;30% WIG;40% Citigroup Poland Government Bond Index;30% WIBID 6M;;;;;;577.8;3;0;;;5%;ozn spada do 0.2% przy 2 000 000;min. 60% w d³u¿ne;;Investor Zabezpieczenia Emerytalnego;Investor
302;Investor Zrównowa¿ony (Investor FIO);FIO;1998;;54.94;3.5;2.27;3.51;mieszane;50;50;55% WIG20;30% Citigroup Poland Government Bond Index;15% WIBID 6M;;;;;;596.1;4;0;;;40%;ozn spada do 0.5% przy 2 000 000;;;Investor Zrównowa¿ony;Investor
73;Ipopema Akcji (Ipopema SFIO);SFIO;2011;codziennie;83.6;3.2;4.58;4.62;akcji;20000;5000;90% WIG;10% WIBID 6M;;;;;;;7.3;4;0;15%;ponad benchmark;70%;ozn spada do 1% przy 200 000;;;Subfundusz IPOPEMA AKCJI;Ipopema
303;Ipopema D³u¿ny (Ipopema SFIO);SFIO;2015;codziennie;;1.25;1.34;1.39;d³u¿ne;20000;5000;75% Treasury BondSpot Poland Index;25% WIBID O/N;;;;;;;91;1;0;20%;ponad benchmark;;ozn spada do 0.1% przy 200 000;min. 50% w d³u¿ne;;Subfundusz IPOPEMA D³u¿ny;Ipopema
74;Ipopema Globalnych Megatrendów (Ipopema SFIO);SFIO;2015;codziennie;60.91;3.2;2.66;2.67;akcji;20000;5000;75% Bloomberg World Index;25% WIBID O/N;;;;;;;17;4;0;20%;ponad benchmark;66%;ozn spada do 1% przy 200 000;;;Subfundusz IPOPEMA Globalnych Megatrendów;Ipopema
304;Ipopema Gotówkowy (Ipopema SFIO);SFIO;2012;codziennie;;0.75;1.22;1.09;pieniê¿ne;20000;5000;100% WIBID 6M;;;;;;;;179.2;0;0;;;;;;;Subfundusz IPOPEMA Gotówkowy;Ipopema
305;Ipopema Makro Alokacji (Ipopema SFIO);SFIO;2011;codziennie;8.34;2.2;3.92;3.56;absolutnej stopy zwrotu;20000;5000;nie ma;;;;;;;;37.8;3;0;10%;ponad WIBOR 12M;;ozn spada do 0.75% przy 200 000;;;Subfundusz IPOPEMA MAKRO ALOKACJI;Ipopema
75;Ipopema Ma³ych i Œrednich Spó³ek (Ipopema SFIO);SFIO;2012;codziennie;76.12;3.2;4.77;4.23;akcji;20000;5000;40% mWIG40;30% MCXP;20% sWIG80;10% WIBID 6M;;;;;6.2;4;0;10%;ponad benchmark;70%;ozn spada do 1% przy 200 000;;;Subfundusz IPOPEMA Ma³ych i Œrednich Spó³ek;Ipopema
77;Ipopema m-INDEKS (Ipopema SFIO);SFIO;2015;codziennie;71.16;2;2.09;1.99;akcji;20000;5000;100% mWIG40;;;;;;;;1.7;4;0;;;;ozn spada do 1% przy 200 000;;;IPOPEMA m-Indeks FIO;Ipopema
76;Ipopema m-INDEKS FIO kategoria A;FIO;2010;;68.04;2;3.59;2.83;akcji;20000;100;100% mWIG40;;;;;;;;25.8;4;0;;;;ozn spada do 1% przy 200 000;;;NA;Ipopema
306;Ipopema Obligacji (Ipopema SFIO);SFIO;2011;codziennie;;1.5;1.84;1.77;d³u¿ne;20000;5000;nie ma;;;;;;;;342.6;1;0;;;;ozn spada do 0.1% przy 200 000;;;Subfundusz IPOPEMA OBLIGACJI;Ipopema
78;Ipopema Short Equity (Ipopema SFIO);SFIO;2012;codziennie;0;3.2;4.32;3.76;akcji;160000;5000;100% WIG20short;;;;;;;;13.9;3;0;;;;ozn spada do 0.75% przy 200 000;;;Subfundusz IPOPEMA Short Equity;Ipopema
79;JPMorgan - Emerging Markets Opportunities Fund Polska (Skarbiec - JPM AM Funds Polska SFIO);SFIO;2013;codziennie;0;2.04;2.02;3.07;akcji;1000;100;nie ma;;;;;;;;33.2;6;0;;;;ozn spada do 3% przy 1 000 000;min. 65% w JPMorgan - Emerging Markets Opportunities Fund;;Skarbiec - emerging markets opportunities;Skarbiec
80;JPMorgan - Europe Strategic Dividend Fund Polska (Skarbiec - JPM AM Funds Polska SFIO);SFIO;2016;codziennie;0;2.04;0;2.9;akcji;1000;100;nie ma;;;;;;;;1.7;#ARG!;0;;;;?;min. 65% w JPMorgan - Europe Strategic Dividend Fund;;Skarbiec - Europe Strategic Dividend;Skarbiec
81;JPMorgan - Global Healthcare Fund Polska (Skarbiec - JPM AM Funds Polska SFIO);SFIO;2016;codziennie;0;2.04;0;2.9;akcji;1000;100;nie ma;;;;;;;;0.6;#ARG!;0;;;;?;min. 65% w JPMorgan - Global Healthcare Fund;;Skarbiec - Global Healthcare;Skarbiec
307;JPMorgan - Global High Yield Bond Fund Polska (Skarbiec - JPM AM Funds Polska SFIO);SFIO;2013;codziennie;;1.3;1.3;1.88;d³u¿ne;1000;100;nie ma;;;;;;;;33.9;3;0;;;;ozn spada do 1.5% przy 1 000 000;min. 65% w JPMorgan - Global High Yield Bond Fund;;Skarbiec - global high yield bond;Skarbiec
308;JPMorgan - Global Income Fund Polska (Skarbiec - JPM AM Funds Polska SFIO);SFIO;2016;codziennie;0;2.04;0;2.9;mieszane;1000;100;nie ma;;;;;;;;2.4;#ARG!;0;;;;?;min. 65% w JPMorgan - Global Income Fund;;Skarbiec - Global Income;Skarbiec
309;JPMorgan - Global Macro Opportunities Fund Polska (Skarbiec - JPM AM Funds Polska SFIO);SFIO;2016;codziennie;0;2.04;0.81;2.9;mieszane;1000;100;nie ma;;;;;;;;10.1;#ARG!;0;;;;?;min. 65% w JPMorgan - Global Macro Opportunities Fund;;Skarbiec - Global Macro Opportunities;Skarbiec
310;JPMorgan - Global Strategic Bond Fund Polska (Skarbiec - JPM AM Funds Polska SFIO);SFIO;2013;codziennie;;1.3;1.34;1.92;d³u¿ne;1000;100;nie ma;;;;;;;;7.4;3;0;;;;ozn spada do 1.5% przy 1 000 000;min. 65% w JPMorgan - Global Strategic Bond Fund;;Skarbiec - global strategic bond;Skarbiec
82;JPMorgan - Highbridge US STEEP Fund Polska (Skarbiec - JPM AM Funds Polska SFIO);SFIO;2013;codziennie;0;2.04;2.02;3.02;akcji;1000;100;nie ma;;;;;;;;4.5;6;0;;;;ozn spada do 3% przy 1 000 000;min. 65% w JPMorgan - Highbridge US STEEP Fund;;Skarbiec - highbridge US STEEP;Skarbiec
83;KBC Akcji Ma³ych i Œrednich Spó³ek (KBC FIO);SFIO;2007;codziennie;89.24;4;4.47;4.41;akcji;500;100;60% mWIG40;30% sWIG80;10% WIBID O/N;- koszty sta³e (w tym zarz¹dzania);;;;;47.6;4;0;;;70%;ozn spada do 1.25% przy 250 000;;;KBC Subfundusz Akcji Ma³ych i Œrednich Spó³ek;KBC
84;KBC Akcyjny (KBC FIO);FIO;2006;;87.37;4;4.44;4.38;akcji;500;100;50% WIG20;40% mWIG40;10% EuroStoxx 50;- koszty sta³e (w tym zarz¹dzania);;;;;74;4;0;;;75%;ozn spada do 1.25% przy 250 000;;;KBC Subfundusz AKCYJNY;KBC
311;KBC Aktywny (KBC FIO);FIO;2002;;51.7;3.8;4.38;4.31;mieszane;500;100;25% Bloomberg/Poland Local Sovereign;25% WIG20;20% mWIG40;25% WIBID 3M;5% EuroStoxx 50;- koszty sta³e (w tym zarz¹dzania);;;44.7;3;0;;;30%;ozn spada do 1% przy 250 000;;;KBC Subfundusz Aktywny;KBC
312;KBC Delta (KBC Biznes SFIO);SFIO;2011;codziennie;;0.99;2.9;2.42;d³u¿ne;160000;1000;70% Bloomberg/Poland Local Sovereign;30% WIBID 3M;- koszty sta³e (w tym zarz¹dzania);;;;;;2.5;#ARG!;0;;;;?;min. 50% w d³u¿ne;;KBC DELTA;KBC
313;KBC Gamma (KBC Biznes SFIO);SFIO;2001;codziennie;;0.79;1.03;0.99;pieniê¿ne;160000;1000;100% WIBID 3M;+ 0.25 p.p.;- koszty sta³e (w tym zarz¹dzania);;;;;;1074;0;0;;;;;min. 80% w d³u¿ne;;KBC GAMMA;KBC
85;KBC Globalny Akcyjny (KBC FIO);FIO;2011;;0;3;4.04;4.57;akcji;500;100;nie ma;;;;;;;;9.4;4;0;;;70%;ozn spada do 1.25% przy 250 000;;;KBC Subfundusz Globalny Akcyjny;KBC
314;KBC Globalny Obligacyjny (KBC FIO);FIO;2012;;;1;;5.01;d³u¿ne;500;100;nie ma;;;;;;;;6.4;#ARG!;0;;;;?;min. 60% w d³u¿ne;;KBC Subfundusz Globalny Obligacyjny;KBC
315;KBC Globalny Ochrony 90 Listopad (KBC FIO);FIO;2015;;0;1.7;3.44;;mieszane;500;100;nie ma;;;;;;;;7.6;3;0;;;;ozn spada do 1% przy 250 000;;;NA;KBC
316;KBC Obligacji Korporacyjnych (KBC FIO);FIO;2011;;;1.3;1.82;1.73;d³u¿ne;500;100;100% WIBOR 6M;- koszty sta³e (w tym zarz¹dzania);;;;;;;119.1;1;0;;;;ozn spada do 0.3% przy 250 000;;;KBC Subfundusz Obligacji Korporacyjnych;KBC
317;KBC Obligacyjny FIO;FIO;2002;;;0.9;1.2;1.16;pieniê¿ne;500;100;;;;;;;;;;0;0;;;;;;;NA;KBC
318;KBC Papierów D³u¿nych (KBC FIO);FIO;2001;;;1.4;1.71;1.65;d³u¿ne;500;100;70% Bloomberg/Poland Local Sovereign;30% WIBID 3M;+ 0.25 p.p.;- koszty sta³e (w tym zarz¹dzania);;;;;120.5;1;0;;;;ozn spada do 0.3% przy 250 000;min. 70% w d³u¿ne;;KBC Subfundusz Papierów D³u¿nych;KBC
86;KBC Portfel Akcji Œrednich Spó³ek (KBC Portfel VIP SFIO);SFIO;2007;codziennie;83.27;4;5.17;5.41;akcji;100000;5000;70% mWIG40;30% sWIG80;- koszty sta³e (w tym zarz¹dzania);;;;;;5.1;4;0;;;75%;;;;KBC PORTFEL AKCJI ŒREDNICH SPÓ£EK SFIO;KBC
87;KBC Portfel Akcyjny (KBC Portfel VIP SFIO);SFIO;2006;codziennie;87.1;4;4.62;4.6;akcji;100000;5000;70% WIG20;30% EuroStoxx 50;- koszty sta³e (w tym zarz¹dzania);;;;;;17.4;4;0;;;80%;;;;KBC PORTFEL AKCYJNY SFIO;KBC
319;KBC Portfel Obligacyjny (KBC Portfel VIP SFIO);SFIO;2006;codziennie;;1.35;1.78;1.82;d³u¿ne;100000;5000;70% Bloomberg/Poland Local Sovereign;30% WIBID 3M;+ 0.25 p.p.;- koszty sta³e (w tym zarz¹dzania);;;;;17.9;4;0;;;;;min. 80% w d³u¿ne;;KBC PORTFEL OBLIGACYJNY SFIO;KBC
320;KBC Portfel Pieniê¿ny (KBC Portfel VIP SFIO);SFIO;2006;codziennie;;0.9;1.36;1.45;pieniê¿ne;100000;5000;100% WIBID 3M;+ 0.25 p.p.;- koszty sta³e (w tym zarz¹dzania);;;;;;17.3;4;0;;;;;min. 80% w d³u¿ne;;KBC PORTFEL PIENIÊ¯NY SFIO;KBC
321;KBC Sigma Obligacji Plus (KBC Biznes SFIO);SFIO;2016;codziennie;;0.79;;;d³u¿ne;160000;1000;100% WIBID 3M;+ 0.25 p.p.;- koszty sta³e (w tym zarz¹dzania);;;;;;15.3;0;0;;;;;min. 60% w d³u¿ne;;KBC SIGMA Obligacji Plus;KBC
322;KBC Stabilny (KBC FIO);FIO;2001;;30.54;2.5;2.94;2.9;mieszane;500;100;50% Bloomberg/Poland Local Sovereign;20% WIBID 3M;15% WIG20;12% mWIG40;3% EuroStoxx 50;- koszty sta³e (w tym zarz¹dzania);;;76.8;3;0;;;max. 50%;ozn spada do 0.35% przy 250 000;;;KBC Subfundusz Stabilny;KBC
89;Legg Mason Akcji (Legg Mason Parasol FIO);FIO;1999;;88.86;3.5;3.38;3.6;akcji;100;100;100% WIG;;;;;;;;1080.5;4;0;;;60%;ozn spada do 0.3% przy 1 000 000;;;Esaliens Parasol FIO Subfundusz Akcji;Esaliens
88;Legg Mason Akcji Azjatyckich (Legg Mason Parasol Zagraniczny SFIO);SFIO;2015;codziennie;0;2.5;2.35;4.2;akcji;100;100;nie ma;;;;;;;;8.2;5;0;;;;ozn spada do 0.75% przy 1 000 000;min. 70% w Legg Mason QS MV Asia Pacific Ex Japan Equi+Y220ty Growth and Y202Income Fund;;Esaliens Akcji Azjatyckich;Esaliens
90;Legg Mason Amerykañskich Spó³ek Wzrostowych (Legg Mason Parasol Zagraniczny SFIO);SFIO;2015;codziennie;0;2.5;2.44;4.07;akcji;100;100;nie ma;;;;;;;;2.6;5;0;;;;ozn spada do 0.75% przy 1 000 000;min. 70% w Legg Mason ClearBridge US Aggressive Growth Fund;;Esaliens Amerykañskich Spó³ek Wzrostowych;Esaliens
91;Legg Mason CEE Select (Legg Mason Parasol FIO);FIO;2014;;95.67;3.5;0;4.46;akcji;100;100;20% WIG;10% PX;10% BUX;20% RTSI$;20% XU100;20% ATX;;;2.8;4;0;20%;ponad benchmark;80%;ozn spada do 0.3% przy 1 000 000;;;Esaliens Parasol FIO Subfundusz CEE Select;Esaliens
323;Legg Mason Globalnych Papierów D³u¿nych (Legg Mason Parasol Zagraniczny SFIO);SFIO;2015;codziennie;;2;2.69;3.14;d³u¿ne;100;100;nie ma;;;;;;;;17.9;3;0;;;;ozn spada do 0.5% przy 1 000 000;min. 70% w Legg Mason Western Asset Global Multi Strategy Fund;;Esaliens Globalnych Papierów D³u¿nych;Esaliens
92;Legg Mason Ma³ych Spó³ek Amerykañskich (Legg Mason Parasol Zagraniczny SFIO);SFIO;2015;codziennie;0;2.5;2.99;4.18;akcji;100;100;nie ma;;;;;;;;0.6;5;0;;;;ozn spada do 0.75% przy 1 000 000;min. 70% w Legg Mason Royce US Smaller Companies Fund;;Esaliens Ma³ych Spó³ek Amerykañskich;Esaliens
324;Legg Mason Obligacji (Legg Mason Parasol FIO);FIO;1999;;;1.5;1.42;1.58;d³u¿ne;100;100;100% Citigroup Poland Government Bond Index All Maturities Local Terms;;;;;;;;175.8;1;0;;;;ozn spada do 0.1% przy 1 000 000;;;Esaliens Parasol FIO Subfundusz Obligacji;Esaliens
93;Legg Mason Okazji Rynkowych (Legg Mason Parasol Zagraniczny SFIO);SFIO;2015;codziennie;0;2.5;1.48;4.09;akcji;100;100;nie ma;;;;;;;;0.5;5;0;;;;ozn spada do 0.75% przy 1 000 000;min. 70% w Miller Opportunity Fund;;Esaliens Okazji Rynkowych;Esaliens
325;Legg Mason Pieniê¿ny (Legg Mason Parasol FIO);FIO;1999;;;0.8;0.83;0.85;pieniê¿ne;100;100;100% JP Morgan Emerging Local Markets Index Plus (ELMI+) Poland;;;;;;;;400.8;0;0;;;;;;;Esaliens Parasol FIO Subfundusz Pieniê¿ny;Esaliens
326;Legg Mason Senior FIO;FIO;1999;;25.83;2.5;1.29;2.57;mieszane;100;100;80% Citigroup Poland Government Bond Index 1 to 3 Year Local Terms;20% WIG;;;;;;;1119.3;3;0;;;20%;ozn spada do 0.2% przy 1 000 000;;;Esaliens Senior FIO;Esaliens
327;Legg Mason Stabilny (Legg Mason Parasol FIO);FIO;2014;;33.74;2.6;1.65;3.29;mieszane;100;100;65% Citigroup Poland Government Bond Index 1 to 3 Year Local Terms;35% WIG;;;;;;;44.8;3;0;10%;ponad 0%;25%;ozn spada do 0.2% przy 1 000 000;;;Esaliens Parasol FIO Subfundusz Stabilny;Esaliens
328;Legg Mason Strateg (Legg Mason Parasol FIO);FIO;1999;;24.72;3.5;2.96;3.64;mieszane;100;100;50% Citigroup Poland Goverment Bond Index 1 to 3 Year Local Terms;50% WIG;;;;;;;126.9;4;0;;;25%;ozn spada do 0.3% przy 1 000 000;;;Esaliens Parasol FIO Subfundusz Strateg;Esaliens
96;MetLife Akcji (Krajowy FIO);FIO;2004;;95.46;4;4.28;4.3;akcji;500;;70% WIG20;30% mWIG40;;;;;;;136.7;5;0;;;90%;ozn spada do 1.75% przy 250 000;;;Metlife Subfundusz Akcji;Metlife
94;MetLife Akcji Amerykañskich (Œwiatowy SFIO);SFIO;2007;codziennie;0;2.5;2.8;3.71;akcji;500;250;nie ma;;;;;;;;26.9;4;0;;;;;100% w Franklin US Opportunities Fund, Franklin US Equity Fund, BlackRock US Small & MidCap Opportunities Fund, BlackRock US Basic Value Fund, America Fund, Legg Mason ClearBridge US Large Cap Growth Fund, U.S. Value Fund oraz Vanguard S&P 500 UCITS ETF;;Metlife Subfundusz Akcji Amerykañskich;Metlife
95;MetLife Akcji Chiñskich i Azjatyckich (Œwiatowy SFIO);SFIO;2007;codziennie;0;3;3.3;4.27;akcji;500;250;nie ma;;;;;;;;42.5;4;0;;;;;100% w PineBridge Funds, Franklin Templeton Investment Funds, Invesco Funds, Robeco Capital Growth Funds oraz JPMorgan Funds;;Metlife Subfundusz Akcji Chiñskich i Azjatyckich;Metlife
97;MetLife Akcji Ma³ych Spó³ek (Œwiatowy SFIO);SFIO;2007;codziennie;85.46;3;3.64;3.62;akcji;500;250;90% sWIG80;10% WIBID 1M;;;;;;;22.5;4;0;;;66%;ozn spada do 1% przy 250 000;;;Metlife Subfundusz Akcji Ma³ych Spó³ek;Metlife
98;MetLife Akcji Nowa Europa (Œwiatowy SFIO);SFIO;2007;codziennie;86.86;3.5;4.09;4.11;akcji;500;250;56% CECE;22% RDX;22% ISE30;;;;;;47.8;4;0;;;66%;ozn spada do 1% przy 250 000;;;Metlife Subfundusz Akcji Nowa Europa;Metlife
99;MetLife Akcji Polskich (Œwiatowy SFIO);SFIO;2007;codziennie;91.26;4;4.44;4.46;akcji;500;250;50% WIG20;40% mWIG40;10% WIBID 1M;;;;;;18.6;4;0;;;90%;ozn spada do 1% przy 250 000;;;Metlife Subfundusz Akcji Polskich;Metlife
100;MetLife Akcji Rynków Rozwiniêtych (Œwiatowy SFIO);SFIO;2007;codziennie;0;3;3.52;4.36;akcji;500;250;nie ma;;;;;;;;12.8;4;0;;;;;100% w MFS Meridian Global Equity Fund, MFS Meridian Global Concentrated Fund, JP Morgan Global Focus Fund, M&G Global Dividend Fund, Aberdeen Global World Equity Fund, Vanguard Global Stock Index Fund, America Fund, EURO Equity, European Research Fund, Schroeder Tokyo Fund oraz iShares MSCI World UCITS ETF;;Metlife Subfundusz Akcji Rynków Rozwiniêtych;Metlife
101;MetLife Akcji Rynków Wschodz¹cych (Œwiatowy SFIO);SFIO;2007;codziennie;0;3;3.41;4.24;akcji;500;250;nie ma;;;;;;;;27.6;4;0;;;;;100% w PineBridge Funds, BlackRock Global Funds, Fidelity Funds, First State Investments oraz Vanguard Funds;;Metlife Subfundusz Akcji Rynków Wschodz¹cych;Metlife
102;MetLife Akcji Œrednich Spó³ek (Krajowy FIO);FIO;2006;;93.28;4;4.37;4.34;akcji;500;250;90% mWIG40;10% WIBID 1M;;;;;;;120.1;5;0;;;70%;ozn spada do 1.75% przy 250 000;;;Metlife Subfundusz Akcji Œrednich Spó³ek;Metlife
329;MetLife Aktywnej Alokacji (Krajowy FIO);FIO;2004;;59.03;3;3.88;3.82;mieszane;500;250;50% WIBID 1M;35% WIG20;15% mWIG40;;;;;;10.4;4;0;;;20%;ozn spada do 1.25% przy 250 000;;;Metlife Subfundusz Aktywnej Alokacji;Metlife
330;MetLife Lokacyjny (Œwiatowy SFIO);SFIO;2007;codziennie;;0.8;1.14;1.09;pieniê¿ne;500;250;100% WIBID 1M;;;;;;;;39;0;0;;;;;;;Metlife Subfundusz Lokacyjny;Metlife
331;MetLife Obligacji Plus (Œwiatowy SFIO);SFIO;2007;codziennie;;1.45;1.75;1.74;d³u¿ne;500;250;90% Citigroup PGBI;10% WIBID 1M;;;;;;;42.5;1;0;;;;ozn spada do 0.15% przy 250 000;;;Metlife Subfundusz Obligacji Plus;Metlife
332;MetLife Obligacji Skarbowych (Krajowy FIO);FIO;2004;;;1.45;1.69;1.7;d³u¿ne;500;250;90% Citigroup PGBI;10% WIBID 1M;;;;;;;98.5;1;0;;;;ozn spada do 0.4% przy 250 000;;;Metlife Subfundusz Obligacji Skarbowych;Metlife
333;MetLife Obligacji Œwiatowych (Œwiatowy SFIO);SFIO;2007;codziennie;;1;1.33;1.93;d³u¿ne;500;250;nie ma;;;;;;;;62.7;1;0;;;;;100% w PineBridge Funds, Franklin Templeton Investment Funds, Schroder International Selection Fund oraz Baring Global Umbrella Fund;;Metlife Subfundusz Obligacji Œwiatowych;Metlife
334;MetLife Ochrony Wzrostu (Œwiatowy SFIO);SFIO;2007;codziennie;3.78;2.6;2.85;3.07;mieszane;500;250;nie ma;;;;;;;;8;2;0;;;;ozn spada do 0.25% przy 250 000;;;Metlife Subfudnusz Ochrony Wzrostu;Metlife
335;MetLife Pieniê¿ny (Krajowy FIO);FIO;2005;;;1;1.2;1.21;pieniê¿ne;500;250;100% WIBID 12M;;;;;;;;455.4;0;0;;;;;;;Metlife Subfundusz Pieniê¿ny;Metlife
336;MetLife Stabilnego Wzrostu (Krajowy FIO);FIO;2004;;27.15;2.2;2.48;2.52;mieszane;500;250;100% WIBID 1M;;;;;;;;39;0;0;;;;;;;Metlife Subfundusz Stabilnego Wzrostu;Metlife
337;MetLife Zrównowa¿ony Azjatycki (Œwiatowy SFIO);SFIO;2007;codziennie;0;2.5;3.21;4.06;mieszane;500;250;nie ma;;;;;;;;8.1;3;0;;;;;100% w PineBridge Funds oraz Franklin Templeton Investment Funds;;Metlife Subfundusz Zrównowa¿ony Azjatycki;Metlife
338;MetLife Zrównowa¿ony Nowa Europa (Krajowy FIO);FIO;2005;;53.34;3.5;4.31;4.32;mieszane;500;250;28% CECE;11% RDX;11% ISE30;40% CPGBI;10% WIBID 1M;;;;12.3;4;0;;;40%;ozn spada do 1.5% przy 250 000;;;Metlife Subfundusz Zrównowa¿ony Nowa Europa;Metlife
377;mFundusz dla aktywnych (mFundusze Dobrze Lokuj¹ce SFIO);SFIO;2016;codziennie;0;0.7;;1.3;mieszane;1000;100;nie ma;;;;;;;;35.2;#ARG!;0;20%;ponad 5%;;;;;Subfundusz mFundusz dla aktywnych;mBank
378;mFundusz dla ka¿dego (mFundusze Dobrze Lokuj¹ce SFIO);SFIO;2016;codziennie;;0.4;;0.7;d³u¿ne;1000;100;nie ma;;;;;;;;92.8;#ARG!;0;20%;ponad 2%;;;;;Subfundusz mFundusz dla ka¿dego;mBank
103;mFundusz dla odwa¿nych (mFundusze Dobrze Lokuj¹ce SFIO);SFIO;2016;codziennie;;1;0;1.9;akcji;1000;100;nie ma;;;;;;;;13.3;#ARG!;0;20%;ponad 8%;60%;;;;Subfundusz mFundusz dla odwa¿nych;mBank
339;Millennium Absolute Return (Millennium SFIO);SFIO;2005;codziennie;20.18;3.5;3.62;3.63;absolutnej stopy zwrotu;500;500;nie ma;;;;;;;;128.4;2;0;;;;;;;Millennium FIO S Absolute Return;Millenium
