Lp;Nazwa funduszu;Forma prawna;Zarz¹dzaj¹cy;Zarz¹dzaj¹cy od;;;;;;;;;;;Rok uruchomienia;Pierwsza wp³ata;Nastêpna wp³ata;Jak czêsto wycena SFIO;Aktywa;Typ;Benchmark;Benchmark_2;Benchmark_3;Benchmark_4;Benchmark_5;Benchmark_6;Benchmark_7;Benchmark_8;Polityka inwestycyjna (min. akcji);Udzia³ akcji;Op³ata za zarz¹dzanie;Op³ata za nabycie;Op³ata za umorzenie;Op³ata za wynik;Op³ata za wynik_2;TER;Op³aty bie¿¹ce;Inne;Inne_2;Inne_3;Nazwa IZFiA;TFI;
40;BPH Akcji (BPH FIO Parasolowy);FIO;;;;;;;;;;;;;1999;1000;100;;149.5;akcji;95% WIG;5% WIBID 3M;;;;;;;70%;83.37;4;4;0;;;4.05;4.03;;;;Rockbridge Subfundusz Akcji;Rockbridge;
41;BPH Akcji Dynamicznych Spó³ek (BPH FIO Parasolowy);FIO;;;;;;;;;;;;;2000;1000;100;;145.2;akcji;90% mWIG40;10% POLONIA;;;;;;;70%;77.82;4;4;0;;;4.07;4.02;;;;Rockbridge Subfundusz Akcji Dynamicznych Spó³ek;Rockbridge;
42;BPH Akcji Globalny (BPH FIO Parasolowy);FIO;;;;;;;;;;;;;2009;1000;100;;18.1;akcji;90% MSCI World TR Gross USD (przeliczony na PLN);10% WIBID 3M;;;;;;;50%;10.95;3;4;0;;;3.09;3.29;;;;Rockbridge Subfundusz Akcji Globalny;Rockbridge;
43;BPH Akcji Rynków Wschodz¹cych (BPH FIO Parasolowy);FIO;;;;;;;;;;;;;2001;1000;100;;20.2;akcji;90% MSCI Emerging Markets TR Gross USD (przeliczony na PLN);10% WIBID 3M;;;;;;;70%;25.29;4;4;0;;;4.32;4.43;;;;Rockbridge Subfundusz Akcji Rynków Wschodz¹cych;Rockbridge;
44;BPH Dywidendowy (BPH FIO Parasolowy);FIO;;;;;;;;;;;;;2016;1000;100;;19;akcji;nie ma;;;;;;;;70%;77.35;3.5;4;0;;;4.33;5.99;;;;Rockbridge Subfundusz Dywidendowy;Rockbridge;
258;BPH FIO Strategii Akcyjnej;FIO;;;;;;;;;;;;;2008;1000;100;;8.7;absolutnej stopy zwrotu;nie ma;;;;;;;;;61.99;2.5;3;0;20%;ponad 8%;2.64;2.6;;;;Rockbridge FIO Strategii Akcyjnej;Rockbridge;
259;BPH Globalny ¯ywnoœci i Surowców (BPH FIO Parasolowy);FIO;;;;;;;;;;;;;2008;1000;100;;45.8;inne;75% Thomson Reuters/Jefferies CRB Excess Return;25% WIBID 3M;;;;;;;50%;30.85;3.75;4;0;;;3.93;4.22;;;;Rockbridge Subfundusz Globalny ¯ywnoœci i Surowców;Rockbridge;
260;BPH Obligacji 1 (BPH FIO Parasolowy);FIO;;;;;;;;;;;;;1999;1000;100;;178.2;d³u¿ne;70% Citigroup Poland Government Bond Index All Maturities Local Terms (SBPLL Index);30% WIBID 3M;;;;;;;;;2;1;0;;;2;2.02;min. 70% w d³u¿ne;;;Rockbridge Subfundusz Obligacji 1;Rockbridge;
261;BPH Obligacji 2 (BPH FIO Parasolowy);FIO;;;;;;;;;;;;;1999;1000;100;;97.9;d³u¿ne;70% Citigroup Poland Government Bond Index All Maturities Local Terms (SBPLL Index);30% WIBID 3M;;;;;;;;;2;1;0;;;2.01;2.03;min. 70% w d³u¿ne;;;Rockbridge Subfundusz Obligacji 2;Rockbridge;
262;BPH Obligacji Korporacyjnych (BPH FIO Parasolowy);FIO;;;;;;;;;;;;;2010;1000;100;;217.8;d³u¿ne;100% WIBID 6M;+ 1 p.p.;;;;;;;;;1;2;0;20%;ponad benchmark;1.02;1.02;min. 70% w d³u¿ne;;;Rockbridge Subfundusz Obligacji Korporacyjnych;Rockbridge;
263;BPH Pieniê¿ny (BPH FIO Parasolowy);FIO;;;;;;;;;;;;;2014;1000;100;;454;pieniê¿ne;100% WIBID 3M;;;;;;;;;;0.8;1;0;20%;ponad benchmark;0.81;0.81;min. 70% w d³u¿ne;;;Rockbridge Subfundusz Pieniê¿ny;Rockbridge;
264;BPH Selektywny (BPH FIO Parasolowy);FIO;;;;;;;;;;;;;2009;1000;100;;107;absolutnej stopy zwrotu;nie ma;;;;;;;;;39.42;3;4;0;;;3.03;3.02;;;;Rockbridge Subfundusz Selektywny;Rockbridge;
265;BPH Skarbowy (BPH FIO Parasolowy);FIO;;;;;;;;;;;;;1997;1000;100;;214.4;pieniê¿ne;100% POLONIA;;;;;;;;;;1.5;1;1;;;1.52;1.52;min. 70% w d³u¿ne;;;Rockbridge Subfundusz Skarbowy;Rockbridge;
266;BPH Stabilnego Wzrostu (BPH FIO Parasolowy);FIO;;;;;;;;;;;;;1997;1000;100;;231.9;mieszane;70% Merrill Lynch Polish Governments 1-4 Yrs;30% WIG;;;;;;;max. 40%;25.56;3;2;0;;;3.03;3.02;ozn spada do 0.35% przy 100 000;;;Rockbridge Subfundusz Stabilnego Wzrostu;Rockbridge;
45;BPH Superior Akcji (BPH Superior FIO);FIO;;;;;;;;;;;;;2015;500000;1000;;6.8;akcji;95% WIG;5% WIBID 3M;;;;;;;70%;79.2;0.7;0;0;25%;ponad benchmark;1.21;1.2;;;;Rockbridge Subfundusz Superior Akcji;Rockbridge;
267;BPH Superior Obligacji (BPH Superior FIO);FIO;;;;;;;;;;;;;2015;500000;1000;;13.7;d³u¿ne;100% Citigroup Poland Government Bond Index All Maturities Local Terms;;;;;;;;;;0.35;0;0;25%;ponad benchmark;0.69;0.51;min. 70% w d³u¿ne;;;Rockbridge Subfundusz Superior Obligacji;Rockbridge;
268;BPH Superior Pieniê¿ny (BPH Superior FIO);FIO;;;;;;;;;;;;;2015;500000;1000;;16.5;pieniê¿ne;100% WIBID 3M;;;;;;;;;;0.3;0;0;25%;ponad benchmark;0.48;0.42;;;;Rockbridge Subfundusz Superior Pieniê¿ny;Rockbridge;
269;BPH Superior Rynku Surowców (BPH Superior FIO);FIO;;;;;;;;;;;;;2016;500000;1000;;10.2;inne;75% Thomson Reuters/Jefferies CRB Excess Return;25% WIBID 3M;;;;;;;;22.86;0.6;0;0;25%;ponad benchmark;11.63;7.06;;;;Rockbridge Subfundusz Superior Rynku Surowców;Rockbridge;
270;BPH Superior Selektywny (BPH Superior FIO);FIO;;;;;;;;;;;;;2015;500000;1000;;22;absolutnej stopy zwrotu;nie ma;;;;;;;;;37.73;0.5;0;0;25%;powy¿ej 2x WIBID 1Y;0.86;0.59;;;;Rockbridge Subfundusz Superior Selektywny;Rockbridge;
271;BPH Zrównowa¿ony (BPH FIO Parasolowy);FIO;;;;;;;;;;;;;1999;1000;100;;183.1;mieszane;50% Merrill Lynch Polish Governments 1-4 Yrs;;;;;;;;max. 70%;45.39;4;3;0;;;4.04;4.03;;;;Rockbridge Subfundusz Zrównowa¿ony;Rockbridge;
46;BPS Akcji (BPS FIO);FIO;;;;;;;;;;;;;2011;100;50;;23.3;akcji;95% WIG;5% WIBID 3M;;;;;;;60%;95.78;4;4;0;;;4.13;4.16;ozn spada do 0.6% przy 500 000;;;BPS Akcji;BPS;
272;BPS Obligacji (BPS FIO);FIO;;;;;;;;;;;;;2011;100;50;;20.7;d³u¿ne;80% Bloomberg Barclays Series E Poland Govt All> 1 Yr Bond Index;20% WIBID 3M;;;;;;;;;1.2;2;0;;;1.25;1.26;ozn spada do 0.1% przy 500 000;min. 70% w d³u¿ne;;BPS Obligacji;BPS;
273;BPS Obligacji Korporacyjnych (BPS SFIO);SFIO;;;;;;;;;;;;;2013;160000;10000;;37.5;d³u¿ne;100% WIBID 6M;+ 1 p.p.;;;;;;;;;0.95;2;0;20%;ponad benchmark;1.24;1.03;ozn spada do 0.1% przy 500 000;;;BPS Obligacji Korporacyjnych;BPS;
274;BPS Pieniê¿ny (BPS FIO);FIO;;;;;;;;;;;;;2011;100;50;;82;pieniê¿ne;100% WIBID 3M;;;;;;;;;;0.9;0;0;;;1.03;0.94;;min. 70% w d³u¿ne;;BPS Pieniê¿ny;BPS;
275;BPS P³ynnoœciowy (BPS SFIO);SFIO;;;;;;;;;;;;;2013;100;50;codziennie;;pieniê¿ne;;;;;;;;;;;0.65;0;0;;;0.98;0.71;;;;BPS P³ynnoœciowy;BPS;
276;BPS Stabilnego Wzrostu (BPS FIO);FIO;;;;;;;;;;;;;2011;100;50;;13.6;mieszane;30% WIG + Bloomberg Barclays Series E Poland Govt All> 1 Yr Bond Index;20% WIBID 3M;;;;;;;œr. 30%;28.49;2;3;0;;;2.87;2.23;ozn spada do 0.15% przy 500 000;;;BPS Stabilnego Wzrostu;BPS;
;Caspar Akcji Europejskich;FIO;;;;;;;;;;;;;2012;1000;100;;43.8;akcji;25% WIG;25% MSCI Austria Index net USD;25% MSCI Turkey Index net USD;12,5% MSCI Hungary Index net USD;12,5% MSCI Czech Republic Index net USD;;;;50%;98.33;3.5;4;0;;;;4.32;ozn do 0.25% przy 5 000 000;;;Caspar Akcji Europejskich;Caspar;
48;Caspar Akcji Polskich (Caspar Parasolowy FIO);FIO;;;;;;;;;;;;;2012;1000;100;;26;akcji;100% WIG;;;;;;;;50%;91.64;3.5;4;0;;;4.29;4.23;ozn spada do 0.25% przy 5 000 000;;;Caspar Akcji Polskich;Caspar;
49;Caspar Akcji Tureckich (Caspar Parasolowy FIO);FIO;;;;;;;;;;;;;2012;1000;100;;12.5;akcji;100% MSCI Turkey Index net USD;;;;;;;;50%;90.6;3.5;4;0;;;4.68;4.65;ozn spada do 0.25% przy 5 000 000;;;Caspar Akcji Tureckich;Caspar;
277;Caspar Globalny (Caspar Parasolowy FIO);FIO;;;;;;;;;;;;;2015;1000;100;;10.9;mieszane;70% MSCI ACWI (w PLN);30% WIBOR 12M;;;;;;;;0;1.95;4;0;15%;ponad benchmark;3.05;2.87;ozn spada do 0.25% przy 5 000 000;min. 50% w fundusze;;Caspar Globalny;Caspar;
278;Caspar Ochrony Kapita³u (Caspar Parasolowy FIO);FIO;;;;;;;;;;;;;2014;1000;100;;9.8;d³u¿ne;100% WIBID 3M;;;;;;;;;;0.05;0;0;;;0.48;0.17;min. 60% w d³u¿ne;;;Caspar Ochrony Kapita³u;Caspar;
50;Copernicus Akcji (Copernicus FIO);FIO;;;;;;;;;;;;;2010;500;100;;2.5;akcji;100% WIG;#NAZWA?;;;;;;;66%;84.98;3.25;2;0;20%;ponad benchmark;6.15;5.56;;;;Subfundusz Akcji;Copernicus;
279;Copernicus D³u¿ny Skarbowy Plus (Copernicus FIO);FIO;;;;;;;;;;;;;2012;500;100;;3.8;d³u¿ne;100% Merrill Lynch Polish Governments;;;;;;;;;;2;1;0;;;3.74;3.39;min. 50% w d³u¿ne;;;Subfundusz D³u¿ny Skarbowy Plus;Copernicus;
51;Copernicus Spó³ek Wzrostowych (Copernicus FIO);FIO;;;;;;;;;;;;;2010;500;100;;8.5;akcji;100% WIG;#NAZWA?;;;;;;;60%;85.24;3.25;2;0;20%;ponad benchmark;5.74;4.74;;;;Subfundusz Spó³ek Wzrostowych;Copernicus;
52;Credit Agricole Akcji Nowej Europy (Credit Agricole FIO);FIO;;;;;;;;;;;;;2008;1000;500;;7.5;akcji;47.5% MSCI Emerging Europe ex Russia;47.5% Austria Index;5% WIBID O/N;;;;;;66%;87.48;3.95;3;1;;;4.87;4.41;ozn spada do 1.15% przy 200 000;ozu spada stopniowo do 0% po 3 latach;;Credit Agricole fio Subfundusz Credit Agricole Akcji Nowej Europy;Credit Agricole;
53;Credit Agricole Akcyjny (Credit Agricole FIO);FIO;;;;;;;;;;;;;2006;1000;500;;67.4;akcji;75% WIG;10% MSCI Emerging Europe ex Russia;10% Austria Index;5% WIBID O/N;;;;;60%;86.64;2.95;3;1;;;3.1;2.98;ozn spada do 1.15% przy 200 000;ozu spada stopniowo do 0% po 3 latach;;Credit Agricole fio Subfundusz Credit Agricole Akcyjny;Credit Agricole;
280;Credit Agricole Dynamiczny Polski (Credit Agricole FIO);FIO;;;;;;;;;;;;;2005;1000;500;;89.6;mieszane;45% WIG;5% MSCI Emerging Europe ex Russia;5% Austria Index;45% Merill Lynch Polish Governments;;;;;40%;50.06;2.75;3;1;;;2.88;2.8;ozn spada do 1.15% przy 200 000;ozu spada stopniowo do 0% po 3 latach;;Credit Agricole fio Subfundusz Credit Agricole Dynamiczny Polski;Credit Agricole;
281;Credit Agricole Lokacyjny (Credit Agricole FIO);FIO;;;;;;;;;;;;;2006;1000;500;;73.9;pieniê¿ne;100% WIBID 3M;;;;;;;;;;1.95;2;1;;;1.96;1.96;ozn spada do 0.15% przy 200 000;ozu spada stopniowo do 0% po 3 latach;;Credit Agricole fio Subfundusz Credit Agricole Lokacyjny;Credit Agricole;
282;Credit Agricole Stabilnego Wzrostu (Credit Agricole FIO);FIO;;;;;;;;;;;;;2003;1000;500;;301.3;mieszane;20% WIG;2.5% MSCI Emerging Europe ex Russia;2.5% Austria Index;75% Merill Lynch Polish Governments;;;;;max. 30%;21.43;2.25;3;1;;;2.27;2.27;ozn spada do 1.15% przy 200 000;ozu spada stopniowo do 0% po 3 latach;;Credit Agricole fio Subfundusz Credit Agricole Stabilnego Wzrostu;Credit Agricole;
54;DB Fund Dynamiczny (DB Funds FIO);FIO;;;;;;;;;;;;;2012;100;50;;2.1;akcji;nie ma;;;;;;;;66%;0;2;2;0;;;0.62;6.05;;;;DB Funds FIO (Dynamiczny);DB Funds;
283;DB Fund Globalny Zrównowa¿ony (DB Funds FIO);FIO;;;;;;;;;;;;;2012;100;50;;1.4;mieszane;nie ma;;;;;;;;;0;1.3;2;0;;;0.72;8.1;;;;DB Funds FIO (Globalny Zrównowa¿ony);DB Funds;
284;DB Fund Instrumentów D³u¿nych (DB Funds FIO);FIO;;;;;;;;;;;;;2012;100;50;;2.7;d³u¿ne;nie ma;;;;;;;;;;0.5;1;0;;;0.34;5.12;min. 60% w d³u¿ne;;;DB Funds FIO (Instrumentów D³u¿nych);DB Funds;
55;Eques Akcji (Eques SFIO);SFIO;;;;;;;;;;;;;2012;100;50;codziennie;8.3;akcji;90% WIG;10% WIBOR 3M;;;;;;;70%;92.46;4.25;4;0;10%;wzrostu w ci¹gu roku;6.74;6.15;ozn spada do 1.5% przy 100 000;;;Subfundusz EQUES Akcji SFIO;Eques;
285;Eques Aktywnej Alokacji (Eques SFIO);SFIO;;;;;;;;;;;;;2012;100;50;codziennie;4.4;mieszane;nie ma;;;;;;;;;58.78;4;3;0;10%;wzrostu w ci¹gu roku;6.71;7.35;ozn spada do 1.3% przy 100 000;;;Subfundusz Eques Aktywnej Alokacji SFIO;Eques;
286;Eques Obligacji (Eques SFIO);SFIO;;;;;;;;;;;;;2012;100;50;codziennie;5;d³u¿ne;100% Bloomberg/EFFAS Bond Indices Poland Liquid All > 1 Yr;;;;;;;;;;1.75;1;0;5%;wzrostu w ci¹gu roku;0.97;2.03;ozn spada do 0.35% przy 100 000;min. 50% w d³u¿ne;;Subfundusz EQUES Obligacji SFIO;Eques;
287;Eques Pieniê¿ny (Eques SFIO);SFIO;;;;;;;;;;;;;2012;100;50;codziennie;7;d³u¿ne;100% WIBOR 3M;;;;;;;;;;0.9;0;0;;;1.45;1.84;min. 50% w d³u¿ne;;;Subfundusz EQUES Pieniê¿ny SFIO;Eques;
288;Eurogeddon (Opera SFIO);SFIO;;;;;;;;;;;;;2009;160000;10000;tygodniowo;0.6;mieszane;nie ma;;;;;;;;;0;0;2;0;25%;wzrostu w ci¹gu roku;4.94;9.48;ozn spada do 0% przy 1 000 000;;;;Opera;
289;Franklin Elastycznego Dochodu (FT FIO);FIO;;;;;;;;;;;;;2016;1000;100;;33.2;d³u¿ne;nie ma;;;;;;;;;;1.2;2;0;;;1.2;1.51;min. 50% w d³u¿ne;;;;Franklin;
;Franklin Zdywersyfikowany Akcji;FIO;;;;;;;;;;;;;2016;1000;100;;11.1;akcji;nie ma;;;;;;;;;93.65;3.2;5;0;;;3.34;4;;;;;Franklin;
290;Franklin Zmiennej Alokacji (FT FIO);FIO;;;;;;;;;;;;;2016;1000;100;;29;mieszane;nie ma;;;;;;;;;5.46;2.1;4;0;;;2.31;2.55;;;;;Franklin;
56;ING BSK Indeks MSCI EMU (ING BSK Fundusze Indeksowe SFIO);SFIO;;;;;;;;;;;;;2015;100;50;codziennie;12.3;akcji;100% MSCI EMU;;;;;;;;;0;1.6;0;0;;;1.96;1.85;min. 70% w Amundi Index MSCI EMU;;;ING BSK Indeks MSCI EMU;ING;
57;ING BSK Indeks S&P 500 (ING BSK Fundusze Indeksowe SFIO);SFIO;;;;;;;;;;;;;2015;100;50;codziennie;11.8;akcji;100% S&P 500;;;;;;;;;0;1.6;0;0;;;1.84;1.85;min. 70% w Amundi Index S&P 500;;;ING BSK Indeks S&P 500;ING;
58;ING BSK Indeks WIG 20 (ING BSK Fundusze Indeksowe SFIO);SFIO;;;;;;;;;;;;;2015;100;50;codziennie;21.5;akcji;100% WIG20;;;;;;;;;0;1.6;0;0;;;1.85;1.85;min. 70% w Structura Index Equity Poland;;;ING BSK Indeks WIG 20;ING;
291;ING Pakiet Dynamiczny (ING Konto Funduszowe SFIO);SFIO;;;;;;;;;;;;;2015;100;50;codziennie;15.7;mieszane;nie ma;;;;;;;;65%;0;2.65;0;0;;;2.63;3.68;;;;ING Subfundusz Pakiet Dynamiczny;ING;
292;ING Pakiet Ostro¿ny (ING Konto Funduszowe SFIO);SFIO;;;;;;;;;;;;;2015;100;50;codziennie;79.8;d³u¿ne;nie ma;;;;;;;;;;1;0;0;;;1.06;1.36;;;;ING Subfundusz Pakiet Ostro¿ny;ING;
293;ING Pakiet Umiarkowany (ING Konto Funduszowe SFIO);SFIO;;;;;;;;;;;;;2015;100;50;codziennie;40.1;mieszane;nie ma;;;;;;;;30%;0;2.2;0;0;;;2.22;2.82;;;;ING Subfundusz Pakiet Umiarkowany;ING;
59;Investor Akcji (Investor FIO);FIO;;;;;;;;;;;;;1998;50;50;;195.4;akcji;90% WIG;10% WIBID 6M;;;;;;;50%;90.63;2.8;5;0;25%;ponad benchmark;5.13;2.81;ozn spada do 0.5% przy 2 000 000;;;Investor Akcji;Investor;
60;Investor Akcji Rynków Wschodz¹cych (Investor SFIO);SFIO;;;;;;;;;;;;;2015;50;50;codziennie;1.5;akcji;90% MSCI Emerging Markets;10% WIBID 6M;;;;;;;70%;0;4;5;0;25%;ponad benchmark;10.76;8.77;ozn spada do 0.5% przy 2 000 000;;;Investor Akcji Rynków Wschodz¹cych;Investor;
61;Investor Akcji Spó³ek Dywidendowych (Investor FIO);FIO;;;;;;;;;;;;;1998;50;50;;113.9;akcji;90% WIG;10% WIBID 6M;;;;;;;70%;88.39;4;5;0;;;3.46;4.02;ozn spada do 0.5% przy 2 000 000;;;Investor Akcji Spó³ek Dywidendowych;Investor;
62;Investor Akcji Spó³ek Wzrostowych (Investor SFIO);SFIO;;;;;;;;;;;;;2015;50;50;codziennie;9.4;akcji;90% WIG;10% WIBID 6M;;;;;;;70%;95.04;4;5;0;25%;ponad benchmark;15.36;6.3;ozn spada do 0.5% przy 2 000 000;;;Investor Akcji Spó³ek Wzrostowych;Investor;
63;Investor Ameryka £aciñska (Investor SFIO);SFIO;;;;;;;;;;;;;2008;50;50;codziennie;13.6;akcji;90% MSCI EM LATIN AMERICA (przeliczony na polsk¹ walutê);10% WIBID 6M;;;;;;;;0;4;5;0;;;4.08;4.7;ozn spada do 0.5% przy 2 000 000;min. 70% w Deutsche Invest I Latin American Equities;;Investor Ameryka £aciñska;Investor;
294;Investor Bezpiecznego Wzrostu (Investor SFIO);SFIO;;;;;;;;;;;;;2015;50;50;codziennie;30.6;mieszane;100% WIBID 6M;;;;;;;;;;1;0;0;25%;ponad benchmark;;1.5;;min. 80% w d³u¿ne;;Investor Bezpiecznego Wzrostu;Investor;
64;Investor BRIC (Investor SFIO);SFIO;;;;;;;;;;;;;2008;50;50;codziennie;16.7;akcji;90% MSCI EM BRIC (przeliczony na polsk¹ walutê);10% WIBID 6M;;;;;;;;0;4;5;0;;;3.93;4.58;ozn spada do 0.5% przy 2 000 000;min. 70% w Deutsche Invest I Global Emerging Markets Equities, Deutsche Invest I Brazilian Equties, DWS India, DWS Russia, Deutsche Invest I Chinese Equities, Deutsche Invest I Emerging Markets Top Dividend oraz Deutsche Invest I Latin American Equities;;Investor BRIC;Investor;
295;Investor Gold Otwarty (Investor SFIO);SFIO;;;;;;;;;;;;;2008;50;50;codziennie;371.7;inne;90% Gold (przeliczony na polsk¹ walutê);10% WIBID 6M;;;;;;;;0;4;5;0;;;3.97;4.43;ozn spada do 0.5% przy 2 000 000;min. 70% w Deutsche Invest I Gold and Precious Metals Equities;;Investor Gold Otwarty;Investor;
296;Investor Gotówkowy (Investor SFIO);SFIO;;;;;;;;;;;;;2008;50;50;codziennie;21.1;pieniê¿ne;100% WIBID 3M;#NAZWA?;#NAZWA?;;;;;;;;0.8;0;0;;;0.82;0.82;min. 80% w d³u¿ne;;;Investor Gotówkowy;Investor;
65;Investor Indie i Chiny (Investor SFIO);SFIO;;;;;;;;;;;;;2008;50;50;codziennie;38.4;akcji;45% MSCI INDIA;45% MSCI CHINA;10% WIBID 6M;;;;;;;0;4;5;0;;;3.99;4.47;ozn spada do 0.5% przy 2 000 000;min. 70% w DWS India, Deutsche Invest I Asian Small/Mid Cap, Deutsche Invest I Chinese Equities, Deutsche Invest I Top Asia;;Investor Indie i Chiny;Investor;
66;Investor Niemcy (Investor SFIO);SFIO;;;;;;;;;;;;;2008;50;50;codziennie;25.1;akcji;90% CDAX Index;10% WIBID 6M;;;;;;;;0;4;5;0;;;4.04;4.68;ozn spada do 0.5% przy 2 000 000;min. 70% w DWS Deutschland, DWS Aktien Strategie Deutschland, DWS German Small/Mid Cap oraz Deutsche Invest I German Equities;;Investor Niemcy;Investor;
67;Investor Nowych Technologii (Investor SFIO);SFIO;;;;;;;;;;;;;2008;50;50;codziennie;76.8;akcji;90% WIG;10% WIBID 6M;;;;;;;70%;74.78;4;5;0;;;4.04;4.05;ozn spada do 0.5% przy 2 000 000;;;Investor Nowych Technologii;Investor;
297;Investor Obligacji (Investor FIO);FIO;;;;;;;;;;;;;1998;50;50;;86.6;d³u¿ne;70% Citigroup Poland Government Bond Index;30% WIBID 6M;#NAZWA?;;;;;;;;1.1;1;0;;;1.09;1.11;ozn spada do 0.2% przy 2 000 000;min. 70% w d³u¿ne;;Investor Obligacji;Investor;
298;Investor Obligacji Korporacyjnych (Investor SFIO);SFIO;;;;;;;;;;;;;2015;50;50;codziennie;1.5;d³u¿ne;100% WIBID 6M;;;;;;;;;;1.5;1;0;25%;ponad benchmark;2.75;3.15;ozn spada do 0.2% przy 2 000 000;min. 70% w d³u¿ne;;Investor Obligacji Korporacyjnych;Investor;
299;Investor Obligacji Rynków Wschodz¹cych Plus (Investor SFIO);SFIO;;;;;;;;;;;;;2015;50;50;codziennie;1.1;d³u¿ne;100% WIBID 6M;;;;;;;;;;1.5;1;0;25%;ponad benchmark;2.9;3.15;ozn spada do 0.2% przy 2 000 000;;;Investor Obligacji Rynków Wschodz¹cych Plus;Investor;
300;Investor P³ynna Lokata (Investor FIO);FIO;;;;;;;;;;;;;1999;50;50;;1 507.70;pieniê¿ne;100% WIBID 3M;#NAZWA?;#NAZWA?;;;;;;;;0.8;0;0;;;0.78;0.81;min. 70% w d³u¿ne;;;Investor P³ynna Lokata;Investor;
68;Investor Rosja (Investor SFIO);SFIO;;;;;;;;;;;;;2008;50;50;codziennie;29.5;akcji;90% MSCI RUSSIA (przeliczony na polsk¹ walutê);10% WIBID 6M;;;;;;;;0;4;5;0;;;4.02;4.52;ozn spada do 0.5% przy 2 000 000;min. 70% w DWS Russia;;Investor Rosja;Investor;
69;Investor Sektora Nieruchomoœci i Budownictwa (Investor SFIO);SFIO;;;;;;;;;;;;;2008;50;50;codziennie;7.1;akcji;30% WIG Budownictwo;20% WIG Deweloperzy;50% RREEF Global Real Estate Securities;;;;;;;0;4;5;0;;;4.02;4.62;ozn spada do 0.5% przy 2 000 000;min. 70% w Deutsche Invest I Global Real Estate Securities;;Investor Sektora Nieruchomoœci i Budownictwa;Investor;
70;Investor Top 25 Ma³ych Spó³ek (Investor FIO);FIO;;;;;;;;;;;;;2002;50;50;;214.6;akcji;80% Investor MS;20% WIBID 6M;;;;;;;70%;73.53;4;5;0;;;3.77;4.01;ozn spada do 0.5% przy 2 000 000;;;Investor Top 25 Ma³ych Spó³ek;Investor;
71;Investor Top 50 Ma³ych i Œrednich Spó³ek (Investor FIO);FIO;;;;;;;;;;;;;2006;50;50;;57.1;akcji;50% Investor MS;10% RTS-2 Index (w PLN);10% ISE National All Shares (w PLN);30% WIBID 6M;;;;;70%;81.14;4;5;0;25%;ponad benchmark;4.34;4.05;ozn spada do 0.5% przy 2 000 000;;;Investor Top 50 Ma³ych i Œrednich Spó³ek;Investor;
72;Investor Turcja (Investor SFIO);SFIO;;;;;;;;;;;;;2008;50;50;codziennie;80.8;akcji;90% MSCI TURKEY;10% WIBID 6M;;;;;;;;37.06;4;5;0;;;3.98;4.26;ozn spada do 0.5% przy 2 000 000;min. 70% w DWS Turkei;;Investor Turcja;Investor;
301;Investor Zabezpieczenia Emerytalnego (Investor FIO);FIO;;;;;;;;;;;;;1999;50;50;;577.8;mieszane;30% WIG;40% Citigroup Poland Government Bond Index;30% WIBID 6M;;;;;;5%;37.37;3;3;0;;;2.91;3.01;ozn spada do 0.2% przy 2 000 000;min. 60% w d³u¿ne;;Investor Zabezpieczenia Emerytalnego;Investor;
302;Investor Zrównowa¿ony (Investor FIO);FIO;;;;;;;;;;;;;1998;50;50;;596.1;mieszane;55% WIG20;30% Citigroup Poland Government Bond Index;15% WIBID 6M;;;;;;40%;54.94;3.5;4;0;;;2.27;3.51;ozn spada do 0.5% przy 2 000 000;;;Investor Zrównowa¿ony;Investor;
73;Ipopema Akcji (Ipopema SFIO);SFIO;;;;;;;;;;;;;2011;20000;5000;codziennie;7.3;akcji;90% WIG;10% WIBID 6M;;;;;;;70%;83.6;3.2;4;0;15%;ponad benchmark;4.58;4.62;ozn spada do 1% przy 200 000;;;Subfundusz IPOPEMA AKCJI;Ipopema;
303;Ipopema D³u¿ny (Ipopema SFIO);SFIO;;;;;;;;;;;;;2015;20000;5000;codziennie;91;d³u¿ne;75% Treasury BondSpot Poland Index;25% WIBID O/N;;;;;;;;;1.25;1;0;20%;ponad benchmark;1.34;1.39;ozn spada do 0.1% przy 200 000;min. 50% w d³u¿ne;;Subfundusz IPOPEMA D³u¿ny;Ipopema;
74;Ipopema Globalnych Megatrendów (Ipopema SFIO);SFIO;;;;;;;;;;;;;2015;20000;5000;codziennie;17;akcji;75% Bloomberg World Index;25% WIBID O/N;;;;;;;66%;60.91;3.2;4;0;20%;ponad benchmark;2.66;2.67;ozn spada do 1% przy 200 000;;;Subfundusz IPOPEMA Globalnych Megatrendów;Ipopema;
304;Ipopema Gotówkowy (Ipopema SFIO);SFIO;;;;;;;;;;;;;2012;20000;5000;codziennie;179.2;pieniê¿ne;100% WIBID 6M;;;;;;;;;;0.75;0;0;;;1.22;1.09;;;;Subfundusz IPOPEMA Gotówkowy;Ipopema;
305;Ipopema Makro Alokacji (Ipopema SFIO);SFIO;;;;;;;;;;;;;2011;20000;5000;codziennie;37.8;absolutnej stopy zwrotu;nie ma;;;;;;;;;8.34;2.2;3;0;10%;ponad WIBOR 12M;3.92;3.56;ozn spada do 0.75% przy 200 000;;;Subfundusz IPOPEMA MAKRO ALOKACJI;Ipopema;
